workload,reactive_result,proactive_result,ocpdas_result,smooth_result
workload_1998-06-10,40,49,20,36
workload_1998-06-11,37,44,16,31
workload_1998-06-12,34,46,19,35
workload_1998-06-15,45,55,28,34
workload_1998-06-16,25,33,15,26
workload_1998-06-17,25,31,13,21
workload_1998-06-18,18,19,12,21
workload_1998-06-19,25,29,10,31
workload_1998-06-22,21,22,15,35
workload_1998-06-23,39,55,28,49
workload_1998-06-24,31,46,25,29
workload_1998-06-25,43,53,30,36
workload_1998-06-26,43,44,29,29
workload_1998-06-29,40,51,29,18
workload_1998-06-30,56,78,37,35
workload_1998-07-03,34,44,27,21
workload_1998-07-07,30,36,24,17
workload_1998-07-08,23,26,17,13
