workload,reactive_result,proactive_result,ocpdas_result
workload_1998-06-10,36,46,20
workload_1998-06-11,36,42,12
workload_1998-06-12,33,45,14
workload_1998-06-15,40,51,21
workload_1998-06-16,24,32,13
workload_1998-06-17,22,30,13
workload_1998-06-18,17,18,12
workload_1998-06-19,24,29,11
workload_1998-06-22,20,20,9
workload_1998-06-23,36,46,27
workload_1998-06-24,28,43,16
workload_1998-06-25,38,44,20
workload_1998-06-26,41,40,24
workload_1998-06-29,37,42,20
workload_1998-06-30,50,71,28
workload_1998-07-03,30,41,19
workload_1998-07-07,25,30,18
workload_1998-07-08,18,19,10
