workload,reactive_result,proactive_result,ocpdas_result
workload_1998-06-10,40,49,21
workload_1998-06-11,37,44,13
workload_1998-06-12,34,46,17
workload_1998-06-15,45,55,22
workload_1998-06-16,25,33,13
workload_1998-06-17,25,31,14
workload_1998-06-18,18,19,13
workload_1998-06-19,25,29,12
workload_1998-06-22,21,22,12
workload_1998-06-23,39,55,28
workload_1998-06-24,31,46,20
workload_1998-06-25,43,53,23
workload_1998-06-26,43,44,26
workload_1998-06-29,40,51,24
workload_1998-06-30,56,78,29
workload_1998-07-03,34,44,22
workload_1998-07-07,30,36,22
workload_1998-07-08,23,26,16
